date,Nuggets,Trailblazers,Jazz,Thunder,Twolves,Warriors,Clippers,Kings,Suns,Lakers,Spurs,Grizzlies,Mavericks,Rockets,Pelicans,Hawks,Heat,Hornets,Wizards,Magic,Cavaliers,Pistons,Pacers,Bulls,Bucks,Raptors,Celtics,Knicks,Nets,76ers
1972,34,18,,47,,51,22,30,49,69,42,,,34,,36,,,38,,23,26,47,57,63,,56,48,44,30
1973,47,21,,26,,47,21,36,38,60,28,,,33,,46,,,52,,32,40,51,51,60,,68,57,30,9
1974,37,27,,36,,44,42,33,30,47,45,,,32,,35,,,47,,29,52,46,54,59,,56,49,55,25
1975,65,38,23,43,,48,49,44,32,30,51,,,41,,31,,,60,,40,40,45,47,38,,60,40,58,34
1976,60,37,38,43,,59,46,31,42,40,50,,,40,,29,,,48,,49,36,39,24,38,,54,38,55,46
1977,50,49,35,40,,46,30,40,34,53,44,,,49,,31,,,48,,43,44,36,44,30,,44,40,22,50
1978,48,58,39,47,,43,27,31,49,45,52,,,28,,41,,,44,,43,38,31,40,44,,32,43,24,55
1979,47,45,26,52,,38,43,48,50,47,48,,,47,,46,,,54,,30,30,38,31,38,,29,31,37,47
1980,30,38,24,56,,24,35,47,55,60,41,,,41,,50,,,39,,37,16,37,30,49,,61,39,34,59
1981,35,45,28,34,,39,36,40,57,54,52,,15,40,,31,,,39,,28,21,44,45,60,,62,50,24,62
1982,46,42,25,52,,45,17,30,46,57,48,,28,46,,42,,,43,,15,39,35,34,55,,63,33,44,58
1983,45,46,30,48,,30,25,45,53,58,53,,38,14,,43,,,42,,23,37,20,28,51,,56,44,49,65
1984,38,48,45,42,,37,30,38,41,54,37,,43,29,,40,,,35,,28,49,26,27,50,,62,47,45,52
1985,52,42,41,31,,22,31,31,36,62,41,,44,48,,34,,,40,,36,46,22,38,59,,63,24,42,58
1986,47,40,42,31,,30,32,37,32,62,35,,44,51,,50,,,39,,29,46,26,30,57,,67,23,39,54
1987,37,49,44,39,,42,12,29,36,65,28,,55,42,,57,,,42,,31,52,41,40,50,,59,24,24,45
1988,54,53,47,44,,20,17,24,28,62,31,,53,46,,50,,,38,,42,54,38,50,42,,57,38,19,36
1989,44,39,51,47,,43,21,27,55,57,21,,38,45,,52,15,20,40,,57,63,28,47,49,,42,52,26,46
1990,43,59,55,41,22,37,30,23,54,63,56,,47,41,,41,18,19,31,18,42,59,42,55,44,,52,45,17,53
1991,20,63,54,41,29,44,31,25,55,58,55,,28,52,,43,24,26,30,31,33,50,41,61,48,,56,39,26,44
1992,24,57,55,47,15,55,45,29,53,43,47,,22,42,,38,38,31,25,21,57,48,40,67,31,,51,51,40,35
1993,36,51,47,55,19,34,41,25,62,39,49,,11,55,,43,36,44,22,41,54,40,41,57,28,,48,60,43,26
1994,42,47,53,63,20,50,27,28,56,33,55,,13,58,,57,42,41,24,50,47,20,47,55,20,,32,57,45,25
1995,41,44,60,57,21,26,17,39,59,48,62,,36,47,,42,32,50,21,57,43,28,52,47,34,,35,55,30,24
1996,35,44,55,64,26,36,29,39,41,53,59,15,26,48,,46,42,41,39,60,47,46,52,72,25,21,33,47,30,18
1997,21,49,64,57,40,30,36,34,40,56,20,14,24,57,,56,61,54,44,45,42,54,39,69,33,30,15,57,26,22
1998,11,46,62,61,45,19,17,27,56,61,56,19,20,41,,50,55,51,42,41,47,37,58,62,36,16,36,43,43,31
1999,14,35,37,25,25,21,9,27,27,31,37,8,19,31,,31,33,26,18,33,22,29,33,13,28,23,19,27,16,28
2000,35,59,55,45,50,19,15,44,53,67,53,22,40,34,,28,52,49,29,41,32,42,56,17,42,45,35,50,31,49
2001,40,50,53,44,47,17,31,55,51,56,58,23,53,45,,25,50,46,19,43,30,32,41,15,52,47,36,48,26,56
2002,27,49,44,45,50,21,39,61,36,58,58,23,57,28,,33,36,44,37,44,29,50,42,21,41,42,49,30,52,43
2003,17,50,47,40,51,38,27,59,44,50,60,28,60,43,47,35,25,,37,42,17,50,48,30,42,24,44,37,49,48
2004,43,41,42,37,58,37,28,55,29,56,57,50,52,45,41,28,42,,25,21,35,54,61,23,41,33,36,39,47,33
2005,49,27,26,52,44,34,37,50,62,34,59,45,58,51,18,13,59,18,45,36,42,54,44,47,30,33,45,33,42,43
2006,44,21,41,35,33,34,47,44,54,45,63,49,60,34,38,26,52,26,42,36,50,64,41,41,40,27,33,23,49,38
2007,45,32,51,31,32,42,40,33,61,42,58,22,67,52,39,30,44,33,41,40,50,53,35,49,28,47,24,33,41,35
2008,50,41,54,20,22,48,23,38,55,57,56,22,51,55,56,37,15,32,43,52,45,59,36,33,26,41,66,23,34,40
2009,54,54,48,23,24,29,19,17,46,65,54,24,50,53,49,47,43,35,19,59,66,39,36,41,34,33,62,32,34,41
2010,53,50,53,50,15,26,29,25,54,57,50,40,55,42,37,53,47,44,26,59,61,27,32,41,46,40,50,29,12,27
2011,50,48,39,55,17,36,32,24,40,57,61,46,57,43,46,44,58,34,23,52,19,30,37,62,35,22,56,42,24,41
2012,38,28,36,47,26,23,40,22,33,41,50,41,36,34,21,40,46,7,20,37,21,25,42,50,31,23,39,36,22,35
2013,57,33,43,60,31,47,56,28,25,45,58,56,41,45,27,44,66,21,29,20,24,29,49,45,38,34,41,54,49,34
2014,36,54,25,59,40,51,57,28,48,27,62,50,49,54,34,38,54,43,44,23,33,29,56,48,15,48,25,37,44,19
2015,30,51,38,45,16,67,56,29,39,21,55,55,50,56,45,60,37,33,46,25,53,32,38,50,41,49,40,17,38,18
2016,33,44,40,55,29,73,53,33,23,17,67,42,42,41,30,48,48,48,41,35,57,44,45,42,33,56,48,32,21,10
